"Squad","Player","Pos","Age","MP","Min","Mn/MP","Min%","90s","Starts","Starts-Mn/Start","Starts-Compl","Subs-Subs","Subs-Mn/Sub","Subs-unSub","TeamSuccess-PPM","TeamSuccess-onG","TeamSuccess-onGA","TeamSuccess-PlusMinus","TeamSuccess-PlusMinus/90","TeamSuccess-OnOff","TeamSuccess(xG)-onxG","TeamSuccess(xG)-onxGA","TeamSuccess(xG)-xGPlusMinus","TeamSuccess(xG)-PlusMinus/90","TeamSuccess(xG)-OnOff"
"France","Lucas Hernandez","DF",26,1,12,12,1.8,0.1,1,12,0,0,,0,3,0,1,-1,-7.5,-8.75,0,0.3,-0.3,-2.15,-2.72
"France","Marcus Thuram","FW,MF",24,5,151,30,22.9,1.7,0,,0,5,30,2,2.6,6,3,3,0.79,0.9,4.7,4,0.7,0.54,0.01
"France","William Saliba","DF",21,1,28,28,4.2,0.3,0,,0,1,28,6,0,0,0,0,0,-1.14,0.6,0,0.6,0.93,0.47
"France","Alphonse Areola","GK",29,0,,,,,0,,0,0,,7,,,,,,,,,,,
"Croatia","Josko Gvardiol","DF",20,7,690,99,100,7.7,7,99,7,0,,0,1.43,8,7,1,0.13,,7,11,-4,-0.58,-0.58
"Croatia","Dominik Livakovic","GK",27,7,690,99,100,7.7,7,99,7,0,,0,1.43,8,7,1,0.13,,7,11,-4,-0.58,-0.58
"Croatia","Ivan Perisic","FW,DF",33,7,669,96,97,7.4,7,96,4,0,,0,1.43,7,7,0,0,-4.29,6.2,11,-4.8,-0.68,-2.07
"Croatia","Luka Modric","MF",36,7,653,93,94.6,7.3,7,93,4,0,,0,1.43,7,7,0,0,-2.43,6,10.6,-4.6,-0.67,-1.45
"Croatia","Mateo Kovacic","MF",28,7,635,91,92,7.1,7,91,2,0,,0,1.43,6,7,-1,-0.14,-3.41,6,10.6,-4.6,-0.66,-1.67
"Croatia","Andrej Kramaric","FW,MF",30,7,474,68,68.7,5.3,7,68,0,0,,0,1.43,6,6,0,0,-0.42,4.7,7.5,-2.8,-0.54,-0.03
"Croatia","Josip Juranovic","DF",26,6,600,100,87,6.7,6,100,6,0,,1,1.17,6,6,0,0,-1,6.4,9.9,-3.5,-0.58,-0.26
"Croatia","Dejan Lovren","DF",32,6,600,100,87,6.7,6,100,6,0,,1,1.17,6,6,0,0,-1,6.4,9.9,-3.5,-0.58,-0.26
"Croatia","Marcelo Brozovic","MF",29,6,552,92,80,6.1,6,92,4,0,,1,1.17,5,5,0,0,-0.65,5.9,8.9,-3,-0.52,0.02
"Croatia","Borna Sosa","DF",24,5,424,85,61.4,4.7,5,85,3,0,,1,1.2,4,4,0,0,-0.34,4.5,7.7,-3.2,-0.69,-0.42
"Croatia","Marko Livaja","FW",28,6,241,40,34.9,2.7,3,62,0,3,18,1,1.5,4,2,2,0.75,0.95,2.4,3.3,-0.9,-0.36,0.25
"Croatia","Mario Pasalic","FW,MF",27,7,271,39,39.3,3,2,58,0,5,31,0,1.43,1,2,-1,-0.33,-0.76,2.2,4.2,-2,-0.75,-0.35
"Croatia","Bruno Petkovic","FW",27,6,234,39,33.9,2.6,1,61,0,5,35,1,1.5,4,3,1,0.38,0.38,3.2,4.9,-1.7,-0.76,-0.33
"Croatia","Nikola Vlasic","FW,MF",24,6,209,35,30.3,2.3,1,45,0,5,33,1,1.5,2,2,0,0,-0.19,2.5,3.3,-0.7,-0.43,0.13
"Croatia","Mislav Orsic","FW",29,6,162,27,23.5,1.8,1,89,0,5,15,1,1.5,4,2,2,0.11,0.28,1.9,2.1,-0.2,-0.13,0.5
"Croatia","Lovro Majer","MF,FW",24,7,130,19,18.8,1.4,1,65,0,6,11,0,1.43,4,1,3,0.08,0.4,1.5,1.5,0,0.03,0.65
"Croatia","Borna Barisic","DF",29,1,120,120,17.4,1.3,1,120,1,0,,6,1,1,1,0,0,-0.16,1.4,1.2,0.2,0.24,0.88
"Croatia","Josip Stanisic","DF",22,1,90,90,13,1,1,90,1,0,,5,3,2,1,1,0,0,0.7,1.2,-0.5,-0.53,-0.01
